Causa,Fecha_Evento,Fenomeno,idEvento,idFenomeno_1,idFenomeno,idLocalidad,idMunicipio,idRegion,Latitud,Longitud,Nombre,Nombre_1,Nombre_12,Nombre_12_
Verificaciones,"junio 15, 2017",Acciones de PrevenciÛn,106.49,52,8,20.09,86,10,"15,21","-92,58",ENCHARCAMIENTOS DE VIVIENDAS POR LLUVIAS FUERTES,Soconusco,Villa Comaltitl·n,CABECERA MUNICIPAL
PrecipitaciÛn,"junio 17, 2017",HidrometeorolÛgicos,106.565,1,1,20.108,104,10,"14,89","-92,29",ENCHARCAMIENTO DEBIDO A LA FUERTE LLUVIA EN EL HOSPITAL REGIONAL,Soconusco,Tapachula,CABECERA MUNICIPAL
Afectaciones por lluvias,"junio 18, 2017",HidrometeorolÛgicos,106.593,80,1,19.887,74,12,"16,91","-92,10",AFECTACIONES POR LLUVIAS (OCOSINGO),Selva Lacandona,Ocosingo,SANTO DOMINGO
Onda tropical,"junio 19, 2017",HidrometeorolÛgicos,106.669,3,1,256,86,10,"15,21","-92,58",AFECTACIONES POR LLUVIAS,Soconusco,Villa Comaltitl·n,VILLA COMALTITL¡N
Afectaciones por lluvias,"junio 20, 2017",HidrometeorolÛgicos,106.764,80,1,20.059,55,10,"15,14","-92,46",ENCHARCAMIENTO POR LLUVIAS ATÕPICAS EN HUIXTLA,Soconusco,Huixtla,CABECERA MUNICIPAL
Tormenta Tropical,"junio 21, 2017",HidrometeorolÛgicos,106.85,5,1,7.389,55,10,"15,09","-92,66",DESBORDAMIENTO DE DREN EL PAPATURRO EN COMUNIDAD ALTAMIRA LA PROVIDENCIA,Soconusco,Huixtla,ALTAMIRA (LA PROVIDENCIA)
Afectaciones por lluvias,"junio 21, 2017",HidrometeorolÛgicos,106.858,80,1,2.211,117,10,"15,10","-92,45",INUNDACI”N DE VIVIENDA EN COLONIA ESTACI”N TUZANT¡N.,Soconusco,Tuzant·n,ESTACI”N TUZANT¡N
Afectaciones por lluvias,"junio 21, 2017",HidrometeorolÛgicos,106.866,80,1,166,42,1,"16,71","-93,02",VERIFICACI”N DE CASA INUNDADA,Metropolitana,Chiapa de Corzo,CHIAPA DE CORZO
Afectaciones por lluvias,"junio 21, 2017",HidrometeorolÛgicos,106.869,80,1,4.122,42,1,"16,64","-93,00",CASA INUNDADA,Metropolitana,Chiapa de Corzo,SALVADOR URBINA
Afectaciones por lluvias,"junio 21, 2017",HidrometeorolÛgicos,106.87,80,1,166,42,1,"16,72","-93,01",APOYO DE VEHÕCULO INUNDADO,Metropolitana,Chiapa de Corzo,CHIAPA DE CORZO
Afectaciones por lluvias,"junio 21, 2017",HidrometeorolÛgicos,106.871,80,1,166,42,1,"16,71","-93,01",CASA INUNDADA,Metropolitana,Chiapa de Corzo,CHIAPA DE CORZO
Baja PresiÛn,"junio 21, 2017",HidrometeorolÛgicos,106.872,2,1,440,26,11,"15,67","-92,24",DESBORDAMIENTO,Sierra Mariscal,Bella Vista,EMILIANO ZAPATA
Afectaciones por lluvias,"junio 21, 2017",HidrometeorolÛgicos,106.873,80,1,20.046,42,1,"16,71","-93,01",VERIFICACI”N DE CASA INUNDADA,Metropolitana,Chiapa de Corzo,CABECERA MUNICIPAL
Verificaciones,"junio 22, 2017",Acciones de PrevenciÛn,106.888,52,8,172,102,10,"14,62","-92,24",ENCHARCAMIENTO,Soconusco,Suchiate,CIUDAD HIDALGO
Hundimiento,"junio 21, 2017",GeolÛgicos,106.898,47,3,20.145,20.141,6,"16,38","-93,00",INUNDACION,Frailesca,El Parral,CABECERA MUNICIPAL
Verificaciones,"junio 22, 2017",Acciones de PrevenciÛn,106.905,52,8,20.094,90,15,"16,36","-92,38",VERIFICACI”N DE REJILLAS,Meseta Comiteca Tojolabal,Las Rosas,CABECERA MUNICIPAL
PrecipitaciÛn,"junio 22, 2017",HidrometeorolÛgicos,106.91,1,1,20.119,115,1,"16,77","-93,07",AFECTACI”NES POR LLUVIAS DEL 22 DE JUNIO,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Tormenta Tropical,"junio 21, 2017",HidrometeorolÛgicos,106.932,5,1,440,26,11,"15,58","-92,25",INUNDACION EN COLONIA EMILIANO ZAPATA,Sierra Mariscal,Bella Vista,EMILIANO ZAPATA
Verificaciones,"junio 22, 2017",Acciones de PrevenciÛn,106.936,52,8,166,42,1,"16,74","-93,04",VALORACION DE UNA CALLE,Metropolitana,Chiapa de Corzo,CHIAPA DE CORZO
Verificaciones,"junio 22, 2017",Acciones de PrevenciÛn,106.938,52,8,4.122,42,1,"16,64","-93,00",VERIFICACION DE ESTANCAMIENTO DE AGUAS FLUVIALES,Metropolitana,Chiapa de Corzo,SALVADOR URBINA
PrecipitaciÛn,"junio 22, 2017",HidrometeorolÛgicos,106.944,1,1,20.119,115,1,"16,74","-93,17",LLUVIAS EN TUXTLA GUTIERREZ,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
PrecipitaciÛn,"junio 22, 2017",HidrometeorolÛgicos,106.947,1,1,20.119,115,1,"16,75","-93,11",AFECTACIONES POR LLUVIA 23/06/17,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Baja PresiÛn,"junio 23, 2017",HidrometeorolÛgicos,106.968,2,1,5.689,98,4,"16,23","-92,40",PRELIMINAR AFECTACIONES EN VIVIENDAS POR ENCHARCAMIENTOS,De los Llanos,Socoltenango,SAN VICENTE
PrecipitaciÛn,"junio 23, 2017",HidrometeorolÛgicos,106.972,1,1,20.11,106,7,"17,25","-93,02",ENCHARCAMIENTOS DE VIVIENDAS,De Los Bosques,Tapilula,CABECERA MUNICIPAL
Afectaciones por lluvias,"junio 28, 2017",HidrometeorolÛgicos,107.26,80,1,166,42,1,"16,67","-93,02",INUNDACION DE CASAS,Metropolitana,Chiapa de Corzo,CHIAPA DE CORZO
Afectaciones por lluvias,"junio 29, 2017",HidrometeorolÛgicos,107.266,80,1,20.11,106,7,"17,25","-93,02",DESLAVE TRAMO CARRETERO TAPILULA RAYON A LA ALTURA DEL VERGEL,De Los Bosques,Tapilula,CABECERA MUNICIPAL
PrecipitaciÛn,"junio 28, 2017",HidrometeorolÛgicos,107.282,1,1,20.08,76,2,"16,76","-93,38",EMERGENCIAS POR LLUVIAS.,Valles Zoque,Ocozocoautla de Espinosa,CABECERA MUNICIPAL
Onda tropical,"julio 1, 2017",HidrometeorolÛgicos,107.379,3,1,20.108,104,10,"14,93","-92,25",PRELIMINAR AFECTACIONES POR LLUVIAS Y VIENTOS,Soconusco,Tapachula,CABECERA MUNICIPAL
Tormenta Tropical,"julio 5, 2017",HidrometeorolÛgicos,107.572,5,1,20.119,115,1,"16,77","-93,12",AFECTACIONES POR LLUVIA 06/07/17,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"julio 5, 2017",Acciones de PrevenciÛn,107.601,52,8,3.444,42,1,"16,58","-92,99",VERIFICACION DE UN ENCHARCAMIENTO DE AGUA,Metropolitana,Chiapa de Corzo,NARCISO MENDOZA
PrecipitaciÛn,"julio 6, 2017",HidrometeorolÛgicos,107.654,1,1,20.119,115,1,"16,73","-93,09",AFECTACIONES POR LLUVIA 07/07/17,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"julio 9, 2017",Acciones de PrevenciÛn,107.753,52,8,20.119,115,1,"16,75","-93,08",VERIFICACION DE TECHO COLAPSADO EN EL HOSPITAL ISSTECH (COL. CASTILLO TIELMANS),Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"julio 9, 2017",Acciones de PrevenciÛn,107.792,52,8,4.122,42,1,"16,63","-93,00",VALORACION DE RIESGO DE UN CAUSE FLUVIAL,Metropolitana,Chiapa de Corzo,SALVADOR URBINA
Verificaciones,"julio 10, 2017",Acciones de PrevenciÛn,107.87,52,8,20.119,115,1,"16,75","-93,10",RECORRIDO DE LLUVIAS 11/07/17,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Onda tropical,"julio 11, 2017",HidrometeorolÛgicos,107.916,3,1,20.119,115,1,"16,75","-93,11",RECORRIDO POR LLUVIAS EN TGZ.,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"julio 12, 2017",Acciones de PrevenciÛn,107.966,52,8,20.084,80,13,"17,51","-91,98",ENCHARCAMIENTO,Maya,Palenque,CABECERA MUNICIPAL
Encharcamiento,"julio 16, 2017",HidrometeorolÛgicos,108.197,69,1,20.097,93,5,"16,72","-92,63",ENCHARCAMIENTO,Altos Tsotsil-Tseltal,San CristÛbal de las Casas,CABECERA MUNICIPAL
PrecipitaciÛn,"julio 17, 2017",HidrometeorolÛgicos,108.275,1,1,20.059,55,10,"15,14","-92,45",ENCHARCAMIENTOS EN VIVIENDAS Y CALLES,Soconusco,Huixtla,CABECERA MUNICIPAL
Verificaciones,"julio 20, 2017",Acciones de PrevenciÛn,108.449,52,8,166,42,1,"16,71","-92,99",VERIFICACION DE INUNDACION EN CASA HABITACION,Metropolitana,Chiapa de Corzo,CHIAPA DE CORZO
Verificaciones,"julio 22, 2017",Acciones de PrevenciÛn,108.564,52,8,2.145,117,10,"15,10","-92,46",VERIFICACION FISICA DE UN PUENTE AZOLVADO,Soconusco,Tuzant·n,TERCER CANT”N
PrecipitaciÛn,"julio 24, 2017",HidrometeorolÛgicos,108.632,1,1,20.119,115,1,"16,75","-93,08",AFECTACIONES POR LLUVIAS 25/07/2017,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Afectaciones por lluvias,"julio 30, 2017",HidrometeorolÛgicos,109.036,80,1,20.046,42,1,"16,71","-93,01",INUNDACION DE CALLE,Metropolitana,Chiapa de Corzo,CABECERA MUNICIPAL
Verificaciones,"julio 31, 2017",Acciones de PrevenciÛn,109.048,52,8,20.119,115,1,"16,78","-93,11",AFECTACIONES POR LLUVIAS 01/08/17,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Verificaciones,"julio 24, 2017",Acciones de PrevenciÛn,109.055,52,8,251,115,1,"16,75","-93,15",VALORACI”N DE RIESGO: COL. PUESTA DEL SOL,Metropolitana,Tuxtla GutiÈrrez,TUXTLA GUTI…RREZ
PrecipitaciÛn,"agosto 1, 2017",HidrometeorolÛgicos,109.175,1,1,20.119,115,1,"16,73","-93,17",AFECTACIONES POR LLUVIAS EN TUXTLA GUTIERREZ,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
PrecipitaciÛn,"agosto 1, 2017",HidrometeorolÛgicos,109.178,1,1,20.047,43,4,"16,57","-92,72",AFECTACIONES POR LLUVIAS,De los Llanos,Chiapilla,CABECERA MUNICIPAL
Afectaciones por lluvias,"agosto 3, 2017",HidrometeorolÛgicos,109.28,80,1,3.462,109,5,"16,61","-92,52",AFECTACI”N POR FUERTES LLUVIAS.,Altos Tsotsil-Tseltal,Teopisca,BETANIA
Verificaciones,"julio 30, 2017",Acciones de PrevenciÛn,109.417,52,8,251,115,1,"16,76","-93,06",VALORACI”N DE RIESGO: COL. EVOLUCI”N POLÕTICA,Metropolitana,Tuxtla GutiÈrrez,TUXTLA GUTI…RREZ
Verificaciones,"agosto 6, 2017",Acciones de PrevenciÛn,109.488,52,8,20.119,115,1,"16,74","-93,06",AFECTACIONES POR LLUVIAS 07/08/17,Metropolitana,Tuxtla GutiÈrrez,CABECERA MUNICIPAL
Tormenta Tropical,"agosto 7, 2017",HidrometeorolÛgicos,109.535,5,1,20.067,63,8,"17,61","-93,19","ALERTAMIENTO PREVENTIVO POR LLUVIAS MUY FUERTES POR LA TORMENTA TROPICAL ""FRANKLIN""",Norte,Ju·rez,CABECERA MUNICIPAL
